https://github.com/DavidMoa26/Numerical-Analysis

Jacobi :

1               1.3333333333333333 		-0.5            		1.0             
2               0.8333333333333334 		0.0             		1.2777777777777777 
3               0.9074074074074074 		0.13888888888888884 		1.277777777777778 
4               0.9537037037037036 		0.13888888888888895 		1.3487654320987652 
5               0.9300411522633746 		0.1743827160493826 		1.3641975308641976 
6               0.9367283950617283 		0.1820987654320988 		1.3681412894375857 
7               0.9379858253315043 		0.18407064471879286 		1.3729423868312758 
8               0.9370427526291724 		0.1864711934156379 		1.374018823350099 
9               0.9374841233551797 		0.18700941167504948 		1.3745046486816035 
10              0.937501587664482 		0.18725232434080175 		1.3748311783434097 
11              0.937473715332464 		0.18741558917170487 		1.374917970668428 
12              0.9374992061677588 		0.187458985334214 		1.3749631015013897 
13              0.9374986279442749 		0.18748155075069484 		1.374986063833991 
14              0.9374984956389012 		0.1874930319169955 		1.3749933928983233 
15              0.9374998796728907 		0.18749669644916167 		1.3749971758519657 
16              0.9374998401990653 		0.18749858792598284 		1.374998858707351 
17              0.937499909739544 		0.18749942935367547 		1.3749994760416826 
18              0.937499984437331 		0.1874997380208413 		1.37499977969774 
19              0.9374999861077004 		0.18749988984887 		1.3749999074860575 
20              0.9374999941209374 		0.18749995374302875 		1.3749999586521902 
21              0.9374999983636129 		0.18749997932609508 		1.374999982621322 
22              0.9374999989015911 		0.18749999131066097 		1.374999992563236 
23              0.937499999582475 		0.18749999628161795 		1.3749999967374176 
24              0.9374999998480668 		0.1874999983687088 		1.3749999986213641 
25              0.9374999999157816 		0.18749999931068206 		1.374999999405592 
26              0.9374999999683634 		0.18749999970279596 		1.3749999997421547 
27              0.9374999999868804 		0.18749999987107735 		1.3749999998903863 
28              0.9374999999935637 		0.18749999994519317 		1.3749999999526523 
29              0.9374999999975137 		0.18749999997632616 		1.3749999999795854 
30              0.9374999999989136 		0.18749999998979272 		1.3749999999912799 
31              0.9374999999995043 		0.18749999999563993 		1.3749999999962352 
32              0.9374999999998016 		0.18749999999811762 		1.3749999999983815 
33              0.9374999999999121 		0.18749999999919076 		1.3749999999993063 
34              0.9374999999999615 		0.18749999999965317 		1.374999999999701 
35              0.937499999999984 		0.18749999999985045 		1.3749999999998714 
36              0.937499999999993 		0.18749999999993572 		1.374999999999945 
37              0.9374999999999969 		0.18749999999997247 		1.3749999999999762 
38              0.9374999999999988 		0.18749999999998812 		1.37499999999999 
39              0.9374999999999994 		0.187499999999995 		1.3749999999999956 
40              0.9374999999999999 		0.18749999999999778 		1.3749999999999982 
41              0.9374999999999999 		0.1874999999999991 		1.3749999999999993 
42              0.9375          		0.18749999999999967 		1.3749999999999998 
43              0.9375          		0.1874999999999999 		1.375           
44              0.9375          		0.1875          		1.375           
45              0.9375          		0.1875          		1.375           


Gauss : 

1               1.3333333333333333 		-0.5            		1.2777777777777777 
2               0.7407407407407408 		0.13888888888888884 		1.2932098765432098 
3               0.948559670781893 		0.14660493827160492 		1.3650548696844993 
4               0.9271833561957018 		0.18252743484224965 		1.3699035970126505 
5               0.937541279276533 		0.18495179850632526 		1.3741643592609527 
6               0.9369291464151241 		0.18708217963047635 		1.3746704420152003 
7               0.937470579205092 		0.18733522100760014 		1.374935266737564 
8               0.9374666514233453 		0.18746763336878203 		1.374978094930709 
9               0.937496512812691 		0.18748904746535455 		1.3749951867593484 
10              0.9374979535686686 		0.1874975933796742 		1.3749985156494475 
11              0.9374996925767421 		0.18749925782472376 		1.374999650133822 
12              0.9374998692303006 		0.18749982506691099 		1.3749998980990705 
13              0.9374999756559469 		0.18749994904953526 		1.3749999749018276 
14              0.9374999913825692 		0.18749998745091379 		1.3749999929444943 
15              0.9374999981688065 		0.18749999647224713 		1.3749999982136847 
16              0.9374999994195208 		0.18749999910684234 		1.3749999995087876 
17              0.9374999998660183 		0.1874999997543938 		1.3749999998734708 
18              0.9374999999603076 		0.18749999993673538 		1.374999999965681 
19              0.9374999999903514 		0.1874999999828405 		1.374999999991064 
20              0.9374999999972587 		0.18749999999553202 		1.3749999999975968 
21              0.9374999999993117 		0.1874999999987984 		1.37499999999937 
22              0.9374999999998095 		0.18749999999968503 		1.3749999999998315 
23              0.9374999999999512 		0.18749999999991573 		1.3749999999999556 
24              0.9374999999999867 		0.1874999999999778 		1.3749999999999882 
25              0.9374999999999964 		0.18749999999999412 		1.3749999999999971 
26              0.937499999999999 		0.18749999999999856 		1.3749999999999991 
27              0.9374999999999999 		0.18749999999999956 		1.375           
28              0.9374999999999999 		0.1875          		1.375           
29              0.9375          		0.1875          		1.375           
30              0.9375          		0.1875          		1.375           
